"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.53,0.51285,0.505211111111111,0.48161875,0.51428,0.497144444444444,0.48185306122449,0.4977625,0.500903703703704,0.515162,0.49885375
"2",0.5287,0.495175,0.497988888888889,0.51474375,0.484252,0.521058333333333,0.498702040816327,0.5271078125,0.476941975308642,0.512252,0.49260275
"3",0.4666,0.515275,0.555166666666667,0.51503125,0.493076,0.514680555555556,0.495479591836735,0.5111859375,0.519650617283951,0.500628,0.506629
"4",0.5562,0.533825,0.473544444444444,0.53483125,0.5077,0.460858333333333,0.478373469387755,0.511246875,0.488964197530864,0.502236,0.4939445
"5",0.4673,0.532825,0.489677777777778,0.4570125,0.519544,0.524997222222222,0.492826530612245,0.49184375,0.513130864197531,0.512942,0.50503
"6",0.5339,0.502025,0.515088888888889,0.49434375,0.502084,0.484611111111111,0.505414285714286,0.4874109375,0.504430864197531,0.508463,0.4908095
"7",0.555,0.543675,0.471911111111111,0.49014375,0.478452,0.501713888888889,0.523089795918367,0.51135,0.512161728395062,0.502299,0.4995055
"8",0.5573,0.459275,0.515011111111111,0.5023125,0.505812,0.499691666666667,0.487659183673469,0.5101046875,0.495398765432099,0.512322,0.5052005
"9",0.4708,0.483025,0.487577777777778,0.55408125,0.512472,0.485411111111111,0.474689795918367,0.5167765625,0.493251851851852,0.481458,0.49444275
"10",0.52,0.49465,0.497655555555556,0.46891875,0.477976,0.536869444444444,0.518389795918367,0.5102984375,0.507116049382716,0.51301,0.4987645
"11",0.4413,0.529975,0.525155555555556,0.47170625,0.459568,0.498736111111111,0.486802040816327,0.5021390625,0.495961728395062,0.493555,0.5208045
"12",0.5262,0.496975,0.493233333333333,0.50883125,0.511472,0.514472222222222,0.523789795918367,0.501853125,0.492860493827161,0.493015,0.5067425
"13",0.4798,0.5142,0.437511111111111,0.4842375,0.504084,0.514638888888889,0.493357142857143,0.504459375,0.509193827160494,0.47823,0.4846395
"14",0.4863,0.46065,0.515844444444444,0.44300625,0.477552,0.510586111111111,0.492524489795918,0.538028125,0.501244444444444,0.506898,0.4929175
"15",0.4163,0.467475,0.514833333333333,0.51648125,0.512144,0.486958333333333,0.468961224489796,0.484128125,0.493201234567901,0.512395,0.500925
"16",0.5081,0.5469,0.5117,0.49856875,0.493912,0.502411111111111,0.527610204081633,0.5008296875,0.494601234567901,0.508368,0.49882125
"17",0.5061,0.517525,0.5116,0.50834375,0.451752,0.511194444444444,0.48744693877551,0.5028875,0.518477777777778,0.504093,0.5063335
"18",0.4501,0.589075,0.501111111111111,0.48655,0.515784,0.457602777777778,0.513961224489796,0.493609375,0.521837037037037,0.518458,0.484319
"19",0.5304,0.5152,0.480055555555556,0.48265625,0.483116,0.483158333333333,0.528826530612245,0.4924234375,0.512972839506173,0.497731,0.5062215
